,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
0,Filetes de Atún en Aceite de Oliva con Ajo,Gomes da Costa,por 3 cucharadas soperas (60g) ,124,6.1,0.0,17.0
1,Caballa en Aceite,Caracas ,por 1/4 taza de té (55g) ,125,10.0,0.0,8.3
2,Merluza en Aceite,Puglisi,por 3 cucharadas soperas) (60g) ,99,5.0,0.0,14.0
3,Aceite de Oliva Virgen Extra,La Toscana,por 1 cuchara sopera (13ml) ,108,12.0,0.0,0.0
4,Aderezo Italiano (Hecho con Aceite y Vinagre),Pennisi,por 1 cucharada ,43,4.17,1.53,0.06
5,Caballa en Aceite,Menoyo,por 3 cucharadas soperas (60g) ,156,11.0,0.0,14.0
6,Aceite de Oliva Extra Virgen,La Campagnola,por 1 cucharada (13ml) ,108,12.0,0.0,0.0
7,Atún en Aceite,Cocinero,por 3 cucharadas de sopa (60g) ,106,4.0,2.5,14.0
8,Aceite de Oliva Extra Virgen,Pennisi,por 1 cuchara sopera (13ml) ,108,12.0,0.0,0.0
9,Sardinas en Aceite,,por 3 cucharadas soperas (60g) ,132,9.1,0.0,12.0
10,Ravioles de Queso,Orali,por 1 taza ,285,10.72,32.35,13.58
11,Tapa para Pascualina,Don Vicente,por 1 rebanada (31g) ,106,4.0,15.0,2.1
12,Fideos Tirabuzón,Matarazzo,por 1 plato (80g) ,277,2.3,54.0,10.0
13,Macarrones Tomate,Mamá Cocina,por 100 g ,116,1.65,21.06,3.87
14,Macarrones con Queso Plato Principal (Enlatados),Matarazzo,por 1 porción ,200,6.0,28.11,8.25
15,Pasta Integral Cruda,Cooperativa,por 100 g ,338,2.0,66.3,12.94
16,Mostachol 3 Vegetales ,,por 1 plato (80g) ,262,0.8,55.0,8.8
17,Ñoquis de Espinaca,,por 1/2 taza (40g) ,139,1.2,28.0,4.1
18,Fideos Integrales,,por 1 plato (80g) ,275,1.3,57.0,9.0
19,Capellettis,,por 100g ,253,1.8,49.0,10.0
20,Mi Arroz Parboil,Cuisine & Co,por 1/4 taza (50g) ,162,0.0,36.0,3.4
21,Arroz Español,Molto,por 1 taza ,211,3.64,40.68,4.67
22,Nasi Goreng,Gallo,por 1 taza ,346,12.25,44.95,12.93
23,Arroz Largo Fino,Lucchetti,por 1/4 taza de té (50g) ,179,0.0,40.0,3.8
24,Chocobar de Arroz,Jumbo,por 1 barra (20g) ,89,4.9,12.0,1.8
25,Arroz Inflado,Risky Dit,por 100 g ,383,0.9,87.77,7.0
26,Arroz Largo Fino,,por 1/4 taza (50g) ,170,0.0,39.0,3.4
27,"Arroz Blanco (de Grano Medio, Cocido)",,por 1 taza ,242,0.39,53.18,4.43
28,Galletas de Arroz,,por 3 galletas (30g) ,110,0.5,24.0,2.3
29,Tostadas de Arroz,,por 4 tostadas (30g) ,104,0.5,23.0,1.9
30,Molino Natural - 10 Semillas,Okebon,por 2 galletitas (27g) ,123,5.0,17.0,2.0
31,Semillas de Girasol,Genser,por 100g ,593,51.0,12.0,20.0
32,Semillas de Girasol,Pipas,por 1 paquete (15g) ,90,7.9,1.0,3.8
33,Pan Lacteado con Semillas,Veneziana,por 2 rebanadas (50g) ,131,3.5,20.0,4.9
34,Semillas de Girasol Peladas,Pipas,por 1 porción (15g) ,90,7.9,1.0,3.8
35,Pan Negro con Semillas de Lino,Carrefour,por 2 rebanadas (50g) ,105,1.0,20.0,3.8
36,Galletitas Multicereal con Semillas,Carrefour,por 4 galletitas (30g) ,127,4.6,18.0,3.5
37,Semillas de Quinoa,Yin Yang,por 1/4 taza (45g) ,163,2.9,27.0,7.2
38,Bizcochitos Integrales con Semillas de Girasol,Granix,por 9 galletitas (30g) ,145,7.5,16.0,3.3
39,Semillas de Chía,Genser,por 1 cucharada sopera (15g) ,61,4.9,0.6,3.5
40,Harina Integral de Trigo Sarraceno,Semillas Gauchas,por 1/4 taza (50g) ,167,1.5,35.0,6.7
41,Rebozador de Arroz,Natuzen,por 3 cucharadas soperas (30g) ,111,0.8,23.0,2.2
42,Harina de Sustitución de las Proteínas en Polvo,Sturla,por 1 cucharada ,107,0.13,20.96,5.81
43,Harina de Quinoa,Dia,por 1/2 taza (50g) ,170,3.7,27.0,7.0
44,Galletas Scons,,por 3 galletas (30g) ,172,7.1,26.0,2.2
45,Arepa de Choclo,,por 1 unidad ,195,3.35,33.81,6.52
46,Arepa con Queso,,por 1 unidad ,212,4.97,33.75,7.39
47,Pan de Harina de Avena,,por 1 tajada ,73,1.19,13.1,2.27
48,Harina de Trigo Blanco (Multi Usos),,por 100 g ,364,0.98,76.31,10.33
49,Harina de Soja,,por 100 g ,434,20.65,31.93,37.8
50,Maní Salado sin Piel,Croppers,por 100g ,601,49.0,15.0,25.0
51,Barritas de Arroz Saladas,Crowie,por 8 unidades (30g) ,111,0.8,25.0,1.0
52,Galletitas Saladas Sabor Queso,Urquiza,por 7 galletitas (30g) ,116,4.0,17.0,3.0
53,Galletitas Saladas Sabor Cebolla,Urquiza,por 1 porción (30g) ,109,2.8,18.0,2.9
54,Molino Natural Naranja y Chips de Chocolate ,Okebon,por 2 galletas (26g) ,120,4.7,18.0,1.9
55,Aritos de Avena y Miel,3 Arroyos,por 100g ,380,3.4,82.0,5.2
56,Cookie Bar Avena y Miel,Bimbo,por 1 barrita (20g) ,90,3.4,13.0,1.8
57,Harina de Algarroba ,Yin Yang,por 1/2 taza (50g) ,160,0.7,37.0,1.1
58,Avena Arrollada Instantánea,Elio,por 1 porción (30g) ,117,1.6,20.0,5.7
59,Barra Girasol y Arándanos,Integra,por 1 porción (43g) ,145,5.0,18.0,7.0
60,Galletas de Avena con Manzana,Quaker,por 3 galletas (30g) ,115,4.6,16.0,2.0
61,Avena Instantánea,Cuisine & Co,por 2 cucharadas (30g) ,103,2.5,16.0,4.0
62,Avena Extrafina ,Granix,por 1/2 taza (40g) ,141,2.8,24.0,5.0
63,Avena Tradicional,3 Arroyos,por 100g ,365,8.6,60.0,12.0
64,Tarta de Atún,My Urban Food,por 1 envase (250g) ,378,18.0,27.0,28.0
65,Atún en Trozos al Natural con Caldo Vegetal,Gomes da Costa,por 3 cucharadas soperas (60g) ,54,0.7,0.0,12.0
66,Makis de Atún,Dia,por 1 maki ,26,0.07,4.92,1.17
67,Atún Desmenuzado al Natural,Gomes da Costa,por 3 cucharadas de sopa (60g) ,41,0.6,0.0,8.9
68,Atún en Trozos en Aceite con Caldo Vegetal,Puglisi,por 3 cucharas soperas (60g) ,92,3.8,0.0,15.0
69,Atún al Natural,La Anónima,por 3 cucharadas de sopa (60g) ,76,2.0,0.0,15.0
70,Lomitos de Atún al Natural,Noel,por 3 cucharas de sopa (60g) ,60,0.5,0.0,15.0
71,Atún Desmenuzado al Natural,Carrefour,por 3 cucharadas (60g) ,46,0.7,2.4,7.4
