,Producto,Marca,Cantidad,Caloria,Grasa,Carbohidrato,Proteina
0,Filetes de Atún en Aceite de Oliva con Ajo,Gomes da Costa,por 3 cucharadas soperas (60g) ,124kcal,"6,10g","0,00g","17,00g"
1,Caballa en Aceite,Caracas ,por 1/4 taza de té (55g) ,125kcal,"10,00g","0,00g","8,30g"
2,Merluza en Aceite,Puglisi,por 3 cucharadas soperas) (60g) ,99kcal,"5,00g","0,00g","14,00g"
3,Aceite de Oliva Virgen Extra,La Toscana,por 1 cuchara sopera (13ml) ,108kcal,"12,00g","0,00g","0,00g"
4,Aderezo Italiano (Hecho con Aceite y Vinagre),Pennisi,por 1 cucharada ,43kcal,"4,17g","1,53g","0,06g"
5,Caballa en Aceite,Menoyo,por 3 cucharadas soperas (60g) ,156kcal,"11,00g","0,00g","14,00g"
6,Aceite de Oliva Extra Virgen,La Campagnola,por 1 cucharada (13ml) ,108kcal,"12,00g","0,00g","0,00g"
7,Atún en Aceite,Cocinero,por 3 cucharadas de sopa (60g) ,106kcal,"4,00g","2,50g","14,00g"
8,Aceite de Oliva Extra Virgen,Pennisi,por 1 cuchara sopera (13ml) ,108kcal,"12,00g","0,00g","0,00g"
9,Sardinas en Aceite,,por 3 cucharadas soperas (60g) ,132kcal,"9,10g","0,00g","12,00g"
10,Ravioles de Queso,Orali,por 1 taza ,285kcal,"10,72g","32,35g","13,58g"
11,Tapa para Pascualina,Don Vicente,por 1 rebanada (31g) ,106kcal,"4,00g","15,00g","2,10g"
12,Fideos Tirabuzón,Matarazzo,por 1 plato (80g) ,277kcal,"2,30g","54,00g","10,00g"
13,Macarrones Tomate,Mamá Cocina,por 100 g ,116kcal,"1,65g","21,06g","3,87g"
14,Macarrones con Queso Plato Principal (Enlatados),Matarazzo,por 1 porción ,200kcal,"6,00g","28,11g","8,25g"
15,Pasta Integral Cruda,Cooperativa,por 100 g ,338kcal,"2,00g","66,30g","12,94g"
16,Mostachol 3 Vegetales ,,por 1 plato (80g) ,262kcal,"0,80g","55,00g","8,80g"
17,Ñoquis de Espinaca,,por 1/2 taza (40g) ,139kcal,"1,20g","28,00g","4,10g"
