category,best_product,protein_per_peso,proteina_g_100g,price_per_100g
Lácteos,Yogur Bebible Tetratop Descremado Frutilla Ilolay 1 Kg,0.637267397399949,7.5,11.769
Quesos y Fiambres,Queso Rallado La Serenisima 100 Gr,0.43406964406289184,45.0,103.67
Congelados,Filet De Merluza Artico,0.27544861668084414,17.0,61.7175
Bebidas,Jugo Cepita del Valle multifruta 200 cc.,0.192,96.0,500.0
Almacén,Arroz Pairboil Dos Hermanos 1 Kg,0.1761904761904762,37.0,210.0
Carnes,Chorizo  Fresco-envasado Al Vacío-colorado-e/v-un.-1,0.16667257704173907,18.8,112.796
Panadería,Pan de mesa La Perla 540 g.,0.10513907284768212,14.7,139.8148148148148
Desayuno,Galletitas Pepas DIA 500 Gr.,0.052924791086350974,19.0,359.0
Frutas y Verduras,Porotos Negros Bolsa 500 Gr Granel,0.040016006402561026,20.0,499.8
Lácteos y productos frescos,Leche entera La Suipachense uat 1 l.,0.02482544608223429,3.2,128.9
Desayuno y merienda,Galletitas crackers Carrefour classic sésamo y lino 175 g.,0.01981260979894593,11.6,585.4857142857143
Frescos,Leche Entera DIA Larga Vida 1 Lt.,0.016853932584269662,3.0,178.0
