product_name,ean,retailer,price_per_100g,nutriscore_grade,nova_group
Yogur Endulzado Ser 177 Gr,7791337000926,disco,48.45762711864406,a,4.0
Yogur Descremado Yopro Natural Pote 200g,7791337001169,disco,52.53,a,4.0
Yogur Ser Batido 140 Gr F. Rojos,7791337003477,disco,79.52142857142857,a,4.0
Yogur Ser Con Probióticos 175 Gr Natural,7791337004207,disco,84.82857142857142,a,4.0
Gelatina Ser 105 Gr Cereza,7791337003422,disco,89.41904761904762,a,4.0
Yogur Ser Probióticos Firme Pote 190 Frutilla,7791337004061,disco,95.92105263157895,a,4.0
"Agua Saborizada Manzana Sin Gas X 1,5 Lts Brio",7798062543919,disco,100.0,a,4.0
Yogur Ser Bat Colchón 160g Frutilla-chia,7791337003552,disco,141.24375,a,4.0
Ricotta Magra Tregar 290g,7793913013146,disco,145.16206896551725,a,3.0
Puré de tomate Carrefour classic 520 g.,7798141711031,carrefour,145.21153846153848,a,3.0
